title	date	location	filename	url
berchtesgaden with waltzmann, upper bavaria, germany	1890	Germany	2002696211.jpg	http://www.loc.gov/item/2002696211/
alma bridge, paris, france	1890	France	2001698555.jpg	http://www.loc.gov/item/2001698555/
monsal dale ii., derbyshire, england	1890	UK	2002696704.jpg	http://www.loc.gov/item/2002696704/
abergavenny castle	1890	UK	2002696354.jpg	http://www.loc.gov/item/2002696354/
the paris gate, lille, france	1890	France	2001698410.jpg	http://www.loc.gov/item/2001698410/
victor emmanuel's monument, venice, italy	1890	Italy	2001701055.jpg	http://www.loc.gov/item/2001701055/
the market church, hanover, hanover, germany	1890	Germany	2002713732.jpg	http://www.loc.gov/item/2002713732/
beckenreid, lake lucerne, switzerland	1890	Switzerland	2001703068.jpg	http://www.loc.gov/item/2001703068/
general view, banff, scotland	1890	Scotland	2001703592.jpg	http://www.loc.gov/item/2001703592/
mexican gulf hotel, pass christian, miss.	1901	US	2008678158.jpg	http://www.loc.gov/item/2008678158/
kairo, au bord du nil	1890	Egypt	2017657710.jpg	http://www.loc.gov/item/2017657710/
ferdinand's street, marienbad, bohemia, austro-hungary	1890	Austro-Hungary	2002708484.jpg	http://www.loc.gov/item/2002708484/
swallow falls ii, fairy glen, bettws-y-coed (i.e. betws), wales	1890	Wales	2001703438.jpg	http://www.loc.gov/item/2001703438/
docks and shipping, hamburg, germany	1890	Germany	2002713698.jpg	http://www.loc.gov/item/2002713698/
promenade and st. genieve church, mulhausen, alsace lorraine, germany	1890	Germany	2002695082.jpg	http://www.loc.gov/item/2002695082/
general view, schwerin, mecklenburg-schwerin, germany	1890	Germany	2002713948.jpg	http://www.loc.gov/item/2002713948/
petit trianon park, maison du seigneur, versailles, france	1890	France	2001698739.jpg	http://www.loc.gov/item/2001698739/
falmouth, cornwall, england	1890	UK	2002696587.jpg	http://www.loc.gov/item/2002696587/
hotels and inland harbor, busum, schleswig-holstein, germany	1890	Germany	2002720681.jpg	http://www.loc.gov/item/2002720681/
the basaltic rocks at bort, auvergne mountains, france	1890	France	2001697566.jpg	http://www.loc.gov/item/2001697566/
the casino, royan, france	1890	France	2001698693.jpg	http://www.loc.gov/item/2001698693/
oetz valley, pipurgersee (i.e., pipurger see) and acherkogel, tyrol, austro-hungary	1890	Austro-Hungary	2002711076.jpg	http://www.loc.gov/item/2002711076/
the hermitage, savannah	1900	US	2008678271.jpg	http://www.loc.gov/item/2008678271/
kairo, marchands de dattes	1890	Egypt	2017657439.jpg	http://www.loc.gov/item/2017657439/
moorish coffee house, algiers, algeria	1899	Algeria	2001697835.jpg	http://www.loc.gov/item/2001697835/
shanklin, the bridge, isle of wight, england	1890	UK	2002708257.jpg	http://www.loc.gov/item/2002708257/
stalden, general view, valais, alps of, switzerland	1890	Switzerland	2001703341.jpg	http://www.loc.gov/item/2001703341/
the staircase of the giant's, venice, italy	1890	Italy	2001700994.jpg	http://www.loc.gov/item/2001700994/
the embankment and entrance to the kursaal, (i.e., cursaal), ostend, belgium	1890	Belgium	2001697970.jpg	http://www.loc.gov/item/2001697970/
kairo, les pyramides depuis la route	1890	Egypt	2017649098.jpg	http://www.loc.gov/item/2017649098/
opstigningen til nordkap (i.e., nordkapp), hornviken, norway	1890	Norway	2001699597.jpg	http://www.loc.gov/item/2001699597/
malham tarn, yorkshire, england	1890	UK	2002708312.jpg	http://www.loc.gov/item/2002708312/
"tyrol village (""village with crucifix""), tyrol, austro-hungary"	1890	Austro-Hungary	2002711133.jpg	http://www.loc.gov/item/2002711133/
rosengarten and st. cyprian, tyrol, austro-hungary	1890	Austro-Hungary	2002711099.jpg	http://www.loc.gov/item/2002711099/
glasgow bridge, [glasgow, scotland]	1890	Scotland	2001706006.jpg	http://www.loc.gov/item/2001706006/
castle, ii., ludlow, england	1890	UK	2002696991.jpg	http://www.loc.gov/item/2002696991/
airolo, general view, st. gotthard railway, switzerland	1890	Switzerland	2001703204.jpg	http://www.loc.gov/item/2001703204/
rosenlaui, with well and wetterhorn, bernese oberland, switzerland	1890	Switzerland	2001701239.jpg	http://www.loc.gov/item/2001701239/
old pinakothek, munich, bavaria, germany	1890	Germany	2002696138.jpg	http://www.loc.gov/item/2002696138/
grossglockner and johannisberg seen from the franz-josephs-höhe, carinthia, austro-hungary	1890	Austro-Hungary	2002710722.jpg	http://www.loc.gov/item/2002710722/
sevigne gate, bordeaux, france	1890	France	2001697589.jpg	http://www.loc.gov/item/2001697589/
strawberry mansion, fairmount park, philadelphia	1900	US	2008679525.jpg	http://www.loc.gov/item/2008679525/
the lavra gate, kiev, russia, (i.e., ukraine)	1890	Ukraine	2001697423.jpg	http://www.loc.gov/item/2001697423/
bruxelles. maison des corporations	1890	Belgium	2017659132.jpg	http://www.loc.gov/item/2017659132/
lake and faulhorn, bernese oberland, switzerland	1890	Switzerland	2001702415.jpg	http://www.loc.gov/item/2001702415/
general view, combemartin [i.e., combe martin], england	1890	UK	2002696568.jpg	http://www.loc.gov/item/2002696568/
the theatre and cathedral, schwerin, mecklenburg-schwerin, germany	1890	Germany	2002713949.jpg	http://www.loc.gov/item/2002713949/
petit trianon, the pavillion and the rock of marie antoinette, versailles, france	1890	France	2001698738.jpg	http://www.loc.gov/item/2001698738/
bedruthan steps, ii, cornwall, england	1890	UK	2002696586.jpg	http://www.loc.gov/item/2002696586/
strand, busum, schleswig-holstein, germany	1890	Germany	2002720680.jpg	http://www.loc.gov/item/2002720680/
the boieldieu bridge from st. sever, rouen, france	1890	France	2001698692.jpg	http://www.loc.gov/item/2001698692/
le cantal, gorge of the cère river, auvergne mountains, france	1890	France	2001697567.jpg	http://www.loc.gov/item/2001697567/
kairo, un bédouin	1890	Egypt	2017657438.jpg	http://www.loc.gov/item/2017657438/
fort moultrie, charleston, s.c.	1900	US	2008678270.jpg	http://www.loc.gov/item/2008678270/
ortler territory, madritschjoch, with konigs-, kreuz-, and suldenspitzen, tyrol, austro-hungary	1890	Austro-Hungary	2002711077.jpg	http://www.loc.gov/item/2002711077/
sandown from pier, isle of wight, england	1890	UK	2002708256.jpg	http://www.loc.gov/item/2002708256/
moorish woman and child on the terrace, ii, algiers, algeria	1899	Algeria	2001697834.jpg	http://www.loc.gov/item/2001697834/
zmutt valley with mischabelhörner group, valais, alps of, switzerland	1890	Switzerland	2001703340.jpg	http://www.loc.gov/item/2001703340/
vorinfos (i.e., vøringsfoss), hardanger fjord, norway	1890	Norway	2001699579.jpg	http://www.loc.gov/item/2001699579/
a court in the doges' palace, venice, italy	1890	Italy	2001700995.jpg	http://www.loc.gov/item/2001700995/
harstadhavn (i.e., harstad harbor), norway	1890	Norway	2001699596.jpg	http://www.loc.gov/item/2001699596/
penyghent, from horton, yorkshire, england	1890	UK	2002708313.jpg	http://www.loc.gov/item/2002708313/
the royal chalet, ostend, belgium	1890	Belgium	2001697971.jpg	http://www.loc.gov/item/2001697971/
kairo, les pyramides	1890	Egypt	2017649099.jpg	http://www.loc.gov/item/2017649099/
sulden, saw mill, near tyrol, austro-hungary	1890	Austro-Hungary	2002711132.jpg	http://www.loc.gov/item/2002711132/
reutte, general view, tyrol, austro-hungary	1890	Austro-Hungary	2002711098.jpg	http://www.loc.gov/item/2002711098/
george square, glasgow, scotland	1890	Scotland	2001706007.jpg	http://www.loc.gov/item/2001706007/
castle, i., ludlow, england	1890	UK	2002696990.jpg	http://www.loc.gov/item/2002696990/
reichenbach, the upper falls, bernese oberland, switzerland	1890	Switzerland	2001701238.jpg	http://www.loc.gov/item/2001701238/
amsteg, general view, st. gotthard railway, switzerland	1890	Switzerland	2001703205.jpg	http://www.loc.gov/item/2001703205/
place tourny and fountain, bordeaux, france	1890	France	2001697588.jpg	http://www.loc.gov/item/2001697588/
main building, girard college, philadelphia	1901	US	2008679524.jpg	http://www.loc.gov/item/2008679524/
state theater, munich, bavaria, germany	1890	Germany	2002696139.jpg	http://www.loc.gov/item/2002696139/
glocknerhaus, with pasterze and grossglockner, carinthia, austro-hungary	1890	Austro-Hungary	2002710723.jpg	http://www.loc.gov/item/2002710723/
