	title	contributor	date	lot	country	city	locationdef	source	basename	ur
949	[Strassburg, general view,  Alsace Lorraine, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002695083.jpg	http://www.loc.gov/item/2002695083/
950	[Ullswater, Howtown Pier, Lake District, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696882.jpg	http://www.loc.gov/item/2002696882/
951	[Saas Fee, a landscape, Valais, Alps of, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703317.jpg	http://www.loc.gov/item/2001703317/
952	[Jungfrau, Monch and Eiger Mountains, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701280.jpg	http://www.loc.gov/item/2001701280/
953	[Laatefos, Odde (i.e. Odda), Hardanger Fjord, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001699484.jpg	http://www.loc.gov/item/2001699484/
954	[The Pantiles, III., Tunbridge Wells, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708201.jpg	http://www.loc.gov/item/2002708201/
955	[With great bridge, Constantine, Algeria]	no contributor	1899	LOT 13420	no country	no city	Algeria	Views of people and sites in Algeria	2001697863.jpg	http://www.loc.gov/item/2001697863/
956	Old causeway near Ormond	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678227.jpg	http://www.loc.gov/item/2008678227/
957	[Cannero Castle, Lake Maggiore, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700868.jpg	http://www.loc.gov/item/2001700868/
958	[Tower Bridge, II. (open), London, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696928.jpg	http://www.loc.gov/item/2002696928/
959	[Fassathal (i.e., Fassatal), Gries and Vernel, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711020.jpg	http://www.loc.gov/item/2002711020/
960	[Bell tower (klingen Tor), Rothenburg (i.e. ob der Tauber), Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696181.jpg	http://www.loc.gov/item/2002696181/
961	[The Late Royal Castle, Warsaw, Russia (i.e. Warsaw, Poland)]	no contributor	1890	LOT 13419	no country	no city	Russia	Views of architecture and other sites primarily in Poland, Russia, and the Ukraine	2001697530.jpg	http://www.loc.gov/item/2001697530/
962	[Young women of Bethlehem in costume, Holy Land]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2002725085.jpg	http://www.loc.gov/item/2002725085/
963	[Montreux, the church and Dent du Midi, Geneva Lake, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001702443.jpg	http://www.loc.gov/item/2001702443/
964	[House of Liszt, Weimar, Thuringia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720792.jpg	http://www.loc.gov/item/2002720792/
965	Kopenhagen. Marmorkirche	['Photoglob Co., publisher']	1890	LOT 14184	['denmark']	['copenhagen']	Denmark	no source	2017659164.jpg	http://www.loc.gov/item/2017659164/
966	[Voorstraatshaven, Dordrecht, Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001698780.jpg	http://www.loc.gov/item/2001698780/
967	[General view, Piatogorsk, (i.e., Piatigorsk), Russia]	no contributor	1890	LOT 13419	no country	no city	Russia	Views of architecture and other sites primarily in Poland, Russia, and the Ukraine	2001697475.jpg	http://www.loc.gov/item/2001697475/
968	Lake in the Public Garden, Boston	['Detroit Photographic Co.']	1900	LOT 13923	no country	no city	US	no source	2008679573.jpg	http://www.loc.gov/item/2008679573/
969	[Makarska, general view, Dalmatia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710774.jpg	http://www.loc.gov/item/2002710774/
970	[Suderode, Halle, Germany Saxony, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720638.jpg	http://www.loc.gov/item/2002720638/
971	[Jersey, Saint Aubins, Channel Islands]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696494.jpg	http://www.loc.gov/item/2002696494/
972	[The Orrido at Osteno, Tessin, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703252.jpg	http://www.loc.gov/item/2001703252/
973	[St. Ambrosius Church (i.e. Sant' Ambrogio), Milan, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700887.jpg	http://www.loc.gov/item/2001700887/
974	[Whitby, view from Larpool, Yorkshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708344.jpg	http://www.loc.gov/item/2002708344/
975	[Milksellers, Brussels, Belgium]	no contributor	1890	LOT 13422	no country	no city	Belgium	Views of architecture and other sites in Belgium	2001697926.jpg	http://www.loc.gov/item/2001697926/
976	[Linderhof Castle, Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696247.jpg	http://www.loc.gov/item/2002696247/
977	[View of the beach, Parame, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698503.jpg	http://www.loc.gov/item/2001698503/
978	[Sackville Street and O'Connell Bridge, Dublin. County Dublin, Ireland]	no contributor	1890	LOT 13406	no country	no city	Ireland	Views of Ireland	2002717398.jpg	http://www.loc.gov/item/2002717398/
979	[Burghof and Prangersaule, Kynast, Riesengebirge, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720511.jpg	http://www.loc.gov/item/2002720511/
980	[Eidsfos Lock, Telemarken (i.e, Telemark), Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001700757.jpg	http://www.loc.gov/item/2001700757/
981	[St. Ives, Porthminster Bay, Cornwall, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696617.jpg	http://www.loc.gov/item/2002696617/
982	[The room of the Duke of York, Monte Carlo, Riviera]	no contributor	1890	LOT 13425	no country	no city	France	Views of the French and Italian Riviera	2001699312.jpg	http://www.loc.gov/item/2001699312/
983	[Frutigen, church and Alps, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701146.jpg	http://www.loc.gov/item/2001701146/
984	[Unter den Linden from the Castle Bridge, Berlin, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713621.jpg	http://www.loc.gov/item/2002713621/
985	[Glen Lyn, the upper falls, Lynton and Lynmouth, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697006.jpg	http://www.loc.gov/item/2002697006/
986	[Rhaiadr Mawddach, Dolgelly (i.e. Rhaeadr Mawddach, Dolgellau), Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703481.jpg	http://www.loc.gov/item/2001703481/
987	[Biaschina, St. Gotthard Railway, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703194.jpg	http://www.loc.gov/item/2001703194/
988	[North Parade (i.e., promenade), Southwold, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708128.jpg	http://www.loc.gov/item/2002708128/
989	[The Hôpital Spring, Vichy, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001699257.jpg	http://www.loc.gov/item/2001699257/
990	[Bodekessel, Hartz, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713764.jpg	http://www.loc.gov/item/2002713764/
991	[St. Mark's Church and the clock, Venice, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001701003.jpg	http://www.loc.gov/item/2001701003/
992	[River Wye from Parade, Ross-on-Wye, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708082.jpg	http://www.loc.gov/item/2002708082/
993	Walford Church. Near Kerne Bridge	no contributor	1890	LOT 14184	['great britain']	['herefordshire']	UK	no source	2017659758.jpg	http://www.loc.gov/item/2017659758/
994	[Vorderriss, general view, Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696302.jpg	http://www.loc.gov/item/2002696302/
995	[Cable railway, Marseilles, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698446.jpg	http://www.loc.gov/item/2001698446/
996	[Mont Blanc, the chain from La Flégère, Chamonix Valley, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001697619.jpg	http://www.loc.gov/item/2001697619/
997	[Poul na Gurn, Glengariff Harbor. County Cork, Ireland]	no contributor	1890	LOT 13406	no country	no city	Ireland	Views of Ireland	2002717377.jpg	http://www.loc.gov/item/2002717377/
998	[Arrival of Boulogne boat, Folkestone, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696752.jpg	http://www.loc.gov/item/2002696752/
999	[Town hall (Stadthuis), Delft, Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001698779.jpg	http://www.loc.gov/item/2001698779/
1000	[General view, Wiesbaden, Hesse-Nassau, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713908.jpg	http://www.loc.gov/item/2002713908/
1001	Buenos Aires. Lago De Palermo	['Photoglob Co., publisher']	1890	LOT 14192	['argentina']	['buenos aires']	Argentina	no source	2017656792.jpg	http://www.loc.gov/item/2017656792/
1002	[Laborers, Plain of Esdraelon, Holy Land, (i.e., Plain of Jezreel, Israel)]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2002725093.jpg	http://www.loc.gov/item/2002725093/
1003	[At Valentia. County Kerry, Ireland]	no contributor	1890	LOT 13406	no country	no city	Ireland	Views of Ireland	2002717418.jpg	http://www.loc.gov/item/2002717418/
1004	[St. Alexander's Church, Warsaw, Russia (i.e. Warsaw, Poland)]	no contributor	1890	LOT 13419	no country	no city	Russia	Views of architecture and other sites primarily in Poland, Russia, and the Ukraine	2001697526.jpg	http://www.loc.gov/item/2001697526/
1005	[Old Main Bridge over Main River and town, Wurzburg, Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696197.jpg	http://www.loc.gov/item/2002696197/
1006	[Grodnenthal (i.e., Grödertal) from Penidsattel, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711036.jpg	http://www.loc.gov/item/2002711036/
1007	Fort Marion, St. Augustine and harbor	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678231.jpg	http://www.loc.gov/item/2008678231/
1008	[Grande Place with town hall, Antwerp, Belgium]	no contributor	1890	LOT 13422	no country	no city	Belgium	Views of architecture and other sites in Belgium	2001697875.jpg	http://www.loc.gov/item/2001697875/
1009	[From south, Weston-super-Mare, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708217.jpg	http://www.loc.gov/item/2002708217/
1010	[Gorge of the Aare River, near Meiringen, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701296.jpg	http://www.loc.gov/item/2001701296/
1011	[Buerbrae  (i.e., Buarbreen) Glacier, Odde (i.e. Odda), Hardanger Fjord, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001699492.jpg	http://www.loc.gov/item/2001699492/
1012	[Spanish quay, Rotterdam, Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001699538.jpg	http://www.loc.gov/item/2001699538/
1013	[Gemmi-Route and Leuk, Valais, Alps of, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703301.jpg	http://www.loc.gov/item/2001703301/
1014	[Windermere, from Belsfield Hotel, Lake District, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696894.jpg	http://www.loc.gov/item/2002696894/
1015	[Dinant, I, Belgium]	no contributor	1890	LOT 13422	no country	no city	Belgium	Views of architecture and other sites in Belgium	2001697930.jpg	http://www.loc.gov/item/2001697930/
1016	"[""Koh-i-noor""]"	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708352.jpg	http://www.loc.gov/item/2002708352/
1017	[The Court of Brera (i.e. Brera Palace courtyard), Milan, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700891.jpg	http://www.loc.gov/item/2001700891/
1018	[Lugano, Bellinzona, Tessin, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703244.jpg	http://www.loc.gov/item/2001703244/
1019	[Grindelwald, view of Hotel Bären and Wetterhorn Mountain, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701279.jpg	http://www.loc.gov/item/2001701279/
1020	[Guernsey, water lane, Moulin Huet, Channel Islands]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696482.jpg	http://www.loc.gov/item/2002696482/
1021	[Gravosa, general view, Dalmatia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710762.jpg	http://www.loc.gov/item/2002710762/
1022	[Part of the city, Rothenburg (i.e. ob der Tauber), Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696178.jpg	http://www.loc.gov/item/2002696178/
1023	Saltair Pavilion, Great Salt Lake, Utah	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008679565.jpg	http://www.loc.gov/item/2008679565/
1024	[The foire bridge, Nigni-Novgorod,(i.e., Nizhniĭ Novgorod), Russia]	no contributor	1890	LOT 13419	no country	no city	Russia	Views of architecture and other sites primarily in Poland, Russia, and the Ukraine	2001697463.jpg	http://www.loc.gov/item/2001697463/
1025	[Peat market and new church, Hague, Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001698796.jpg	http://www.loc.gov/item/2001698796/
1026	Battle. Abbey Gateway	no contributor	1890	LOT 14184	['great britain']	['battle']	UK	no source	2017659172.jpg	http://www.loc.gov/item/2017659172/
1027	[Promenade looking towards High Street, Cheltenham, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696528.jpg	http://www.loc.gov/item/2002696528/
1028	[Hohesonne and view of the Wartburg, Wartburg, Thuringia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720784.jpg	http://www.loc.gov/item/2002720784/
1029	[Vevey, general view, Geneva Lake, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001702455.jpg	http://www.loc.gov/item/2001702455/
1030	[Llanberis and Lyn (i.e., Llyn) Peris, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703497.jpg	http://www.loc.gov/item/2001703497/
1031	[From Varden, Molde, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001698846.jpg	http://www.loc.gov/item/2001698846/
1032	[Watersmeet and refreshment house, Lynton and Lynmouth, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697010.jpg	http://www.loc.gov/item/2002697010/
1033	[Abbazia, Lovrana near Abbazia, Istria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710918.jpg	http://www.loc.gov/item/2002710918/
1034	[Passhohe, Hotel Wildstrubel and the Alps, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701150.jpg	http://www.loc.gov/item/2001701150/
1035	[The Orangery, Potsdam, Berlin, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713637.jpg	http://www.loc.gov/item/2002713637/
1036	[Mouse Tower and Rossel, Bingen, the Rhine, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714058.jpg	http://www.loc.gov/item/2002714058/
1037	Gwalior. Ooa with the Fort	['Photoglob Co., publisher']	1890	LOT 14192	['india']	['gwalior']	India	no source	2017657615.jpg	http://www.loc.gov/item/2017657615/
1038	[Shephard with flock in olive grove, Mentone, Riveria]	no contributor	1890	LOT 13425	no country	no city	France	Views of the French and Italian Riviera	2001699304.jpg	http://www.loc.gov/item/2001699304/
1039	[Penzance, general view, Cornwall, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696601.jpg	http://www.loc.gov/item/2002696601/
1040	[Hotel de ville, Havre, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698145.jpg	http://www.loc.gov/item/2001698145/
1041	[Kungstradgarden, Stockholm, Sweden]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway and Sweden	2001700741.jpg	http://www.loc.gov/item/2001700741/
1042	[Krummhubel and Schneekoppe, Riesengebirge, Germany (i.e., Karpacz, Poland)]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720507.jpg	http://www.loc.gov/item/2002720507/
1043	[The Louvre, Paris, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698515.jpg	http://www.loc.gov/item/2001698515/
1044	[The Gobelin Tapestries, Linderhof Castle, Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696251.jpg	http://www.loc.gov/item/2002696251/
1045	[Lower Sandgate Road, Folkestone, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696744.jpg	http://www.loc.gov/item/2002696744/
1046	[Black Cave Tunnel. County Antrim, Ireland]	no contributor	1890	LOT 13406	no country	no city	Ireland	Views of Ireland	2002717361.jpg	http://www.loc.gov/item/2002717361/
1047	View on Palm Avenue, Riverside	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008679709.jpg	http://www.loc.gov/item/2008679709/
1048	[Temple of Jupiter, the facade, Baalbek, Holy Land, (i.e., Ba'labakk, Lebanon)]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2002724952.jpg	http://www.loc.gov/item/2002724952/
1049	[Notre Dame de la Garde, Marseilles, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698450.jpg	http://www.loc.gov/item/2001698450/
1050	[Zugspitze with signal station, Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696314.jpg	http://www.loc.gov/item/2002696314/
1051	[In the woods, Sheringham, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708094.jpg	http://www.loc.gov/item/2002708094/
1052	[Hexentanzplatz and Thale, Bodethal, Hartz, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713772.jpg	http://www.loc.gov/item/2002713772/
1053	[Near St. Mark's, Venice, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001701015.jpg	http://www.loc.gov/item/2001701015/
1054	[Upper Engadine, Bernina, Grisons, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703028.jpg	http://www.loc.gov/item/2001703028/
1055	The lodge, Golden Gate Park, San Francisco, Cal.	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678118.jpg	http://www.loc.gov/item/2008678118/
1056	[Torrent Walk I, Dolgelly (i.e. Dolgellau), Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703478.jpg	http://www.loc.gov/item/2001703478/
1057	[View on the Ern, (i.e., Earn), Comrie, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2001705955.jpg	http://www.loc.gov/item/2001705955/
1058	[Panoramic view towards Titlis, Stanserhorn, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703182.jpg	http://www.loc.gov/item/2001703182/
1059	[Military road. Fortress in the Dariel Ravine, Caucasus, Russia]	no contributor	1890	LOT 13419	no country	no city	Russia	Views of architecture and other sites primarily in Poland, Russia, and the Ukraine	2001696360.jpg	http://www.loc.gov/item/2001696360/
1060	[Castle and mediaeval market town, Turin, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700983.jpg	http://www.loc.gov/item/2001700983/
1061	[Schonbrunn, near Zug, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703356.jpg	http://www.loc.gov/item/2001703356/
1062	[Klampenborg Hermitage, Copenhagen, Denmark]	no contributor	1890	LOT 13421	no country	no city	Denmark	Views of architecture and other sites in Copenhagen, Denmark	2001697988.jpg	http://www.loc.gov/item/2001697988/
1063	[Interior of Notre Dame d'Afrique, Algiers, Algeria]	no contributor	1899	LOT 13420	no country	no city	Algeria	Views of people and sites in Algeria	2001697822.jpg	http://www.loc.gov/item/2001697822/
1064	[Freshwater Bay Arch and Stag Rocks, Isle of Wight, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708240.jpg	http://www.loc.gov/item/2002708240/
1065	[Great Marlow, Buckinghamshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696969.jpg	http://www.loc.gov/item/2002696969/
1066	[Lienz, with the Spitzkolft (i.e., Spitzkofl), Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711061.jpg	http://www.loc.gov/item/2002711061/
1067	[The Ponale Road, Riva, Lake Garda, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700829.jpg	http://www.loc.gov/item/2001700829/
1068	Rubber tree in the U.S. barracks, Key West	['Detroit Photographic Co.']	1900	LOT 13923	no country	no city	US	no source	2008678266.jpg	http://www.loc.gov/item/2008678266/
1069	Athènes	['Photoglob Co., publisher']	1890	LOT 14192	['greece']	['athens']	Greece	no source	2017656395.jpg	http://www.loc.gov/item/2017656395/
1070	[Old house in Rue St. Martin, Bayeux, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001697571.jpg	http://www.loc.gov/item/2001697571/
1071	[The town hall, Rheims, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698684.jpg	http://www.loc.gov/item/2001698684/
1072	[Christ Church, Bromberg, Silesia [i.e., Posen] Germany (i.e., Bydgoszcz, Poland)]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720696.jpg	http://www.loc.gov/item/2002720696/
1073	[Coast view, Kynance, Cornwall, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696590.jpg	http://www.loc.gov/item/2002696590/
1074	[Höheweg resort area, Interlaken, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001702402.jpg	http://www.loc.gov/item/2001702402/
1075	Cook's Landing Place, Botany Bay, N.S.W.	['Photoglob Co., publisher']	1890	LOT 14192	['australia']	no city	Australia	no source	2017657838.jpg	http://www.loc.gov/item/2017657838/
1076	[Chmielnitzky, (i.e., Khmelnitskii), Monument, Kiev, Russia, (i.e., Ukraine)]	no contributor	1890	LOT 13419	no country	no city	Russia	Views of architecture and other sites primarily in Poland, Russia, and the Ukraine	2001697434.jpg	http://www.loc.gov/item/2001697434/
1077	Bruxelles. Porte de Hall	['Photoglob Co., publisher']	1890	LOT 14184	['belgium']	['brussels']	Belgium	no source	2017659125.jpg	http://www.loc.gov/item/2017659125/
1078	[Bucarri (i.e., Buccari), from the east, Croatia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710735.jpg	http://www.loc.gov/item/2002710735/
1079	Nassau Harbor, Bahama Islands	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008679532.jpg	http://www.loc.gov/item/2008679532/
1080	[Wading on the beach, Busum, Schleswig-Holstein, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720679.jpg	http://www.loc.gov/item/2002720679/
1081	[The Falls of the Rhine, from Castle Worth, Schaffhausen, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703213.jpg	http://www.loc.gov/item/2001703213/
1082	Spearfish Falls, South Dakota	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008678289.jpg	http://www.loc.gov/item/2008678289/
1083	[Wilton Lodge, Hawick, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2001706011.jpg	http://www.loc.gov/item/2001706011/
1084	[General view, Ludlow, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696986.jpg	http://www.loc.gov/item/2002696986/
1085	[Stilferjoch (i.e., Stilfer Joch), Weisser Knott, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711124.jpg	http://www.loc.gov/item/2002711124/
1086	[The embankment, west part, Ostend, Belgium]	no contributor	1890	LOT 13422	no country	no city	Belgium	Views of architecture and other sites in Belgium	2001697967.jpg	http://www.loc.gov/item/2001697967/
1087	[Bridlington, the harbor, from south pier, Yorkshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708305.jpg	http://www.loc.gov/item/2002708305/
1088	[Vorinfos (i.e., Vøringsfoss) with bridge, Hardanger Fjord, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001699580.jpg	http://www.loc.gov/item/2001699580/
1089	[Place de la Republique, Paris, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698542.jpg	http://www.loc.gov/item/2001698542/
1090	[Füssen, Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696206.jpg	http://www.loc.gov/item/2002696206/
1091	[Stubbenkammer Kleine (i.e., Keline Stubbenkammer), Isle of Rugen, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720550.jpg	http://www.loc.gov/item/2002720550/
1092	[The castle, Deal, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696656.jpg	http://www.loc.gov/item/2002696656/
1093	[Troldtinderne from hole, Romsdalen, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001700716.jpg	http://www.loc.gov/item/2001700716/
1094	[Bec de la Vallee, Dinard, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698112.jpg	http://www.loc.gov/item/2001698112/
1095	Singapore. Cavenagh-Bridge	['Photoglob Co., publisher']	1890	LOT 14192	['singapore']	no city	Singapore	no source	2017657642.jpg	http://www.loc.gov/item/2017657642/
1096	Kairo, palmiers et pyramides	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	['jīzah']	Egypt	no source	2017656950.jpg	http://www.loc.gov/item/2017656950/
