	title	contributor	date	lot	country	city	locationdef	source	basename	ur
6099	[St. Chad's Church, Lichfield, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696907.jpg	http://www.loc.gov/item/2002696907/
6100	[Waterfront, Lake Garda, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700847.jpg	http://www.loc.gov/item/2001700847/
6101	The heart of the Rockies	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008678208.jpg	http://www.loc.gov/item/2008678208/
6102	Kairo. Bédouin et sa femme aprés le marche	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	['cairo']	Egypt	no source	2017657440.jpg	http://www.loc.gov/item/2017657440/
6103	[Lake Champex, II., Valais, Alps of, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703292.jpg	http://www.loc.gov/item/2001703292/
6104	[Gottweih (i.e., Göttweigmonastery), Lower Austria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708384.jpg	http://www.loc.gov/item/2002708384/
6105	[Wetterhorn Mountain and chalet, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701305.jpg	http://www.loc.gov/item/2001701305/
6106	[The New Uitleg (canal), Hague, Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001699501.jpg	http://www.loc.gov/item/2001699501/
6107	[Riffel Lake and Monte Rosa, Valais, Alps of, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703338.jpg	http://www.loc.gov/item/2001703338/
6108	[Gallery of Mirrors, Versailles, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698740.jpg	http://www.loc.gov/item/2001698740/
6109	[Externstein, II., Detmold, Lippe, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713931.jpg	http://www.loc.gov/item/2002713931/
6110	[Meiningen, Thuringia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720752.jpg	http://www.loc.gov/item/2002720752/
6111	[Klosters, gorges of the Landquart, Grisons, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001702483.jpg	http://www.loc.gov/item/2001702483/
6112	[Meeting of the Waters, Killarney. County Kerry, Ireland]	no contributor	1890	LOT 13406	no country	no city	Ireland	Views of Ireland	2002717421.jpg	http://www.loc.gov/item/2002717421/
6113	[Corpus Christi College, Cambridge, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696454.jpg	http://www.loc.gov/item/2002696454/
6114	[Theater, Leipzig, Saxony, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720617.jpg	http://www.loc.gov/item/2002720617/
6115	[Les Thermes, Bagneres de Bigorra (i.e., Bagnères-de-Bigorre) Pyrenees, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698605.jpg	http://www.loc.gov/item/2001698605/
6116	[The Court, Hofbrauhaus, Munich, Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696141.jpg	http://www.loc.gov/item/2002696141/
6117	[Hog horn and Dark Hole, Helogland, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713874.jpg	http://www.loc.gov/item/2002713874/
6118	[Winter scene with log structure, Grisons, Switzerland]	no contributor	1890	LOT 13512	no country	no city	unidentified	Nineteenth century travel views of Europe	2002715109.jpg	http://www.loc.gov/item/2002715109/
6119	[Jersey, Corbiere Lighthouse, II, Channel Islands, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696511.jpg	http://www.loc.gov/item/2002696511/
6120	[From the east, Nazareth, Holy Land, (i.e., Israel)]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2002725045.jpg	http://www.loc.gov/item/2002725045/
